Time (s),Altitude (m),TAS (m/s),Fuel Remaining (kg)
0,9.5,0,21000
0.1,9.5,0.2891208151382824,21000
0.2,9.5,0.5782408734598492,21000
0.30000000000000004,9.5,0.8673586613391938,21000
0.4,9.5,1.1564726651864685,21000
0.5,9.5,1.445581371479181,21000
0.6,9.5,1.734683266793887,21000
0.7,9.5,2.0237768378378798,21000
0.7999999999999999,9.5,2.3128605714808743,21000
0.8999999999999999,9.5,2.6019329547866836,21000
0.9999999999999999,9.5,2.8909924750448877,21000
1.0999999999999999,9.5,3.1800376198024933,21000
1.2,9.5,3.4690668768955817,21000
1.3,9.5,3.758078734480944,21000
1.4000000000000001,9.5,4.0470716810677025,21000
1.5000000000000002,9.5,4.336044205548919,21000
1.6000000000000003,9.5,4.624994797233182,21000
1.7000000000000004,9.5,4.913921945876181,21000
1.8000000000000005,9.5,5.2028241417122585,21000
1.9000000000000006,9.5,5.4916998754859385,21000
2.0000000000000004,9.5,5.78054763848344,21000
2.1000000000000005,9.5,6.069365922564158,21000
2.2000000000000006,9.5,6.358153220192127,21000
2.3000000000000007,9.5,6.646908024467456,21000
2.400000000000001,9.5,6.93562882915773,21000
2.500000000000001,9.5,7.224314128729392,21000
2.600000000000001,9.5,7.512962418379085,21000
2.700000000000001,9.5,7.801572194064969,21000
2.800000000000001,9.5,8.090141952538,21000
2.9000000000000012,9.5,8.378670191373178,21000
3.0000000000000013,9.5,8.667155409000758,21000
3.1000000000000014,9.5,8.955596104737417,21000
3.2000000000000015,9.5,9.243990778817393,21000
3.3000000000000016,9.5,9.532337932423575,21000
3.4000000000000017,9.5,9.820636067718558,21000
3.5000000000000018,9.5,10.108883687875647,21000
3.600000000000002,9.5,10.397079297109826,21000
3.700000000000002,9.5,10.685221400708674,21000
3.800000000000002,9.5,10.973308505063235,21000
3.900000000000002,9.5,11.261339117698848,21000
4.000000000000002,9.5,11.54931174730591,21000
4.100000000000001,9.5,11.83722490377061,21000
4.200000000000001,9.5,12.125077098205587,21000
4.300000000000001,9.5,12.412866842980558,21000
4.4,9.5,12.700592651752869,21000
4.5,9.5,12.988253039498005,21000
4.6,9.5,13.275846522540037,21000
4.699999999999999,9.5,13.563371618582009,21000
4.799999999999999,9.5,13.850826846736263,21000
4.899999999999999,9.5,14.138210727554709,21000
4.999999999999998,9.5,14.425521783059024,21000
5.099999999999998,9.5,14.712758536770794,21000
5.1999999999999975,9.5,14.999919513741586,21000
5.299999999999997,9.5,15.287003240582955,21000
5.399999999999997,9.5,15.574008245496376,21000
5.4999999999999964,9.5,15.860933058303123,21000
5.599999999999996,9.5,16.14777621047406,21000
5.699999999999996,9.5,16.434536235159367,21000
5.799999999999995,9.5,16.721211667218192,21000
5.899999999999995,9.5,17.00780104324824,21000
5.999999999999995,9.5,17.294302901615257,21000
6.099999999999994,9.5,17.580715782482475,21000
6.199999999999994,9.5,17.86703822783994,21000
6.299999999999994,9.5,18.153268781533804,21000
6.399999999999993,9.5,18.439405989295484,21000
6.499999999999993,9.5,18.725448398770787,21000
6.5999999999999925,9.5,19.011394559548933,21000
6.699999999999992,9.5,19.29724302319148,21000
6.799999999999992,9.5,19.582992343261186,21000
6.8999999999999915,9.5,19.86864107535077,21000
6.999999999999991,9.5,20.154187777111595,21000
7.099999999999991,9.5,20.43963100828225,21000
7.19999999999999,9.5,20.72496933071706,21000
7.29999999999999,9.5,21.01020130841447,21000
7.39999999999999,9.5,21.295325507545385,21000
7.499999999999989,9.5,21.580340496481377,21000
7.599999999999989,9.5,21.865244845822815,21000
7.699999999999989,9.5,22.15003712842689,21000
7.799999999999988,9.5,22.434715919435554,21000
7.899999999999988,9.5,22.71927979630334,21000
7.999999999999988,9.5,23.00372733882512,21000
8.099999999999987,9.5,23.288057129163715,21000
8.199999999999987,9.5,23.572267751877444,21000
8.299999999999986,9.5,23.856357793947545,21000
8.399999999999986,9.5,24.140325844805506,21000
8.499999999999986,9.5,24.424170496360276,21000
8.599999999999985,9.5,24.707890343025394,21000
8.699999999999985,9.5,24.99148398174598,21000
8.799999999999985,9.5,25.27495001202565,21000
8.899999999999984,9.5,25.558287035953295,21000
8.999999999999984,9.5,25.84149365822977,21000
9.099999999999984,9.5,26.124568486194452,21000
9.199999999999983,9.5,26.407510129851705,21000
9.299999999999983,9.5,26.690317201897216,21000
9.399999999999983,9.5,26.97298831774423,21000
9.499999999999982,9.5,27.255522095549654,21000
9.599999999999982,9.5,27.53791715624007,21000
9.699999999999982,9.5,27.820172123537596,21000
9.799999999999981,9.5,28.102285623985658,21000
9.89999999999998,9.5,28.384256286974626,21000
9.99999999999998,9.5,28.666082744767337,21000
10.09999999999998,9.5,28.9477636325245,21000
10.19999999999998,9.5,29.229297588329963,21000
10.29999999999998,9.5,29.510683253215884,21000
10.399999999999979,9.5,29.79191927118774,21000
10.499999999999979,9.5,30.07300428924926,21000
10.599999999999978,9.5,30.35393695742717,21000
10.699999999999978,9.5,30.634715928795885,21000
10.799999999999978,9.5,30.915339859502,21000
10.899999999999977,9.5,31.195807408788717,21000
10.999999999999977,9.5,31.47611723902008,21000
11.099999999999977,9.5,31.756268015705142,21000
11.199999999999976,9.5,32.03625840752195,21000
11.299999999999976,9.5,32.31608708634143,21000
11.399999999999975,9.5,32.59575272725114,21000
11.499999999999975,9.5,32.87525400857883,21000
11.599999999999975,9.5,33.154589611915966,21000
11.699999999999974,9.5,33.43375822214106,21000
11.799999999999974,9.5,33.71275852744283,21000
11.899999999999974,9.5,33.991589219343325,21000
11.999999999999973,9.5,34.2702489927208,21000
